price,title,url
"Rs 10,000",Sony Game PSP 2006 -For Sell only,https://www.olx.com.pk/item/sony-game-psp-2006-for-sell-only-IDWN6jv.html
"Rs 10,500",Ps4 controller,https://www.olx.com.pk/item/ps4-controller-IDWN6oU.html
"Rs 3,000","Grand Theft Auto 5, Gta V, Ps4, playstation 4, mint condition",https://www.olx.com.pk/item/grand-theft-auto-5-gta-v-ps4-playstation-4-mint-condition-IDWN6pI.html
"Rs 8,500","Two playstation3. Games, two cd,s",https://www.olx.com.pk/item/two-playstation3-games-two-cd-s-IDWhLrm.html
"Rs 2,500","WWE 2K17, Ps4, Playstation 4",https://www.olx.com.pk/item/wwe-2k17-ps4-playstation-4-IDWN6s9.html
"Rs 3,500",Nintendo Ds 7 cartridges,https://www.olx.com.pk/item/nintendo-ds-7-cartridges-IDWIJY4.html
"Rs 3,499",GTA V on ps4 for sale or exchange,https://www.olx.com.pk/item/gta-v-on-ps4-for-sale-or-exchange-IDWN0yW.html
"Rs 9,500",Ps3 CDs of assain creed,https://www.olx.com.pk/item/ps3-cds-of-assain-creed-IDWfiJ4.html
"Rs 6,999",PSP (play station portable),https://www.olx.com.pk/item/psp-play-station-portable-IDWN4W6.html
"Rs 2,100",Resident Evil Origins collection Ps4.. can be bought or exchanged,https://www.olx.com.pk/item/resident-evil-origins-collection-ps4-can-be-bought-or-exchanged-IDWM3nl.html
"Rs 1,600",Air Mouse Js6/T6 Keyboard With Touch Pad,https://www.olx.com.pk/item/air-mouse-js6-t6-keyboard-with-touch-pad-IDWN4U5.html
Rs 300,DVD's of games,https://www.olx.com.pk/item/dvds-of-games-IDWN4LG.html
"Rs 1,500",PS3 Original Games,https://www.olx.com.pk/item/ps3-original-games-IDWN4Yp.html
"Rs 15,000",Xbox 360 with Kinect and 12 Original Games 2 Controllers,https://www.olx.com.pk/item/xbox-360-with-kinect-and-12-original-games-2-controllers-IDWN51h.html
"Rs 1,300",MX3 Air Mouse Wireless Mini Keyboard 2.4Ghz For android and smart tv,https://www.olx.com.pk/item/mx3-air-mouse-wireless-mini-keyboard-2-4ghz-for-android-and-smart-tv-IDWN55M.html
"Rs 60,000",Video game,https://www.olx.com.pk/item/video-game-IDWN56S.html
"Rs 54,000",Sony play station 4,https://www.olx.com.pk/item/sony-play-station-4-IDWN589.html
"Rs 1,800",Ps3 games bahria ph 7 at MY GAMES !,https://www.olx.com.pk/item/ps3-games-bahria-ph-7-at-my-games-IDWFV3q.html
"Rs 30,000",Original glacier white ps4 500GB imported from uk with gta 5,https://www.olx.com.pk/item/original-glacier-white-ps4-500gb-imported-from-uk-with-gta-5-IDWN58m.html
"Rs 17,000",Xbox exchange possible with anything in same value,https://www.olx.com.pk/item/xbox-exchange-possible-with-anything-in-same-value-IDWN5cB.html
"Rs 7,500",Psp go 16gb,https://www.olx.com.pk/item/psp-go-16gb-IDWK0Mh.html
"Rs 15,000",Ps3 500gb super slim,https://www.olx.com.pk/item/ps3-500gb-super-slim-IDWN54x.html
"Rs 3,000",Ps2 for sale,https://www.olx.com.pk/item/ps2-for-sale-IDWN5h8.html
"Rs 5,000",Watchdogs 2 and just cause 3 for ps4 bundle,https://www.olx.com.pk/item/watchdogs-2-and-just-cause-3-for-ps4-bundle-IDWN5hK.html
"Rs 6,000",Xbox360 original games,https://www.olx.com.pk/item/xbox360-original-games-IDWN3YZ.html
"Rs 10,000",Psp 3000/3001 + 8gb sony memory card + av cable,https://www.olx.com.pk/item/psp-3000-3001-8gb-sony-memory-card-av-cable-IDWN3YP.html
"Rs 4,000",PlayStation 4 cds,https://www.olx.com.pk/item/playstation-4-cds-IDWN4bq.html
"Rs 1,200",Xbox One Game Pass [Digital Code],https://www.olx.com.pk/item/xbox-one-game-pass-digital-code-IDWN3TF.html
"Rs 17,500",Playstation 2 with 6 months Warranty,https://www.olx.com.pk/item/playstation-2-with-6-months-warranty-IDWN3Wh.html
"Rs 38,000",( brand new xbox1s available at My Games ),https://www.olx.com.pk/item/brand-new-xbox1s-available-at-my-games-IDW0j7W.html
"Rs 17,000","Xbox 360 Slim 250 Gb With Box And Stuff, 3 Controllers And 93 Games",https://www.olx.com.pk/item/xbox-360-slim-250-gb-with-box-and-stuff-3-controllers-and-93-games-IDWwcBa.html
"Rs 6,000",Amazon fire stick,https://www.olx.com.pk/item/amazon-fire-stick-IDWN4d3.html
"Rs 4,500",Fifa 17 100% genuine,https://www.olx.com.pk/item/fifa-17-100-genuine-IDWN4f8.html
"Rs 2,000",Ps4 Game exchange possible,https://www.olx.com.pk/item/ps4-game-exchange-possible-IDWN4hx.html
Rs 100,Spring Antenna Set For Wireless 433MHZ RF Transmitter Receiver Remote,https://www.olx.com.pk/item/spring-antenna-set-for-wireless-433mhz-rf-transmitter-receiver-remote-IDWIH6L.html
"Rs 5,000",Psp 1003 with wifi Good Condtion,https://www.olx.com.pk/item/psp-1003-with-wifi-good-condtion-IDWLNzj.html
"Rs 3,500",Grand theft auto 5  for sell,https://www.olx.com.pk/item/grand-theft-auto-5-for-sell-IDWN4ha.html
"Rs 3,000",Fifa17 Ps4 orignal game,https://www.olx.com.pk/item/fifa17-ps4-orignal-game-IDWN4iY.html
"Rs 5,000",Kinect For Xbox 360 with 18 games,https://www.olx.com.pk/item/kinect-for-xbox-360-with-18-games-IDWsi1C.html
"Rs 15,000",Xbox 360 slim with kinect and 1tb (1024 gb) hard disk 100+ games,https://www.olx.com.pk/item/xbox-360-slim-with-kinect-and-1tb-1024-gb-hard-disk-100-games-IDWN4le.html
Rs 180,Power Supply Module 3.3V 5V For MB-102 Breadboard(MB-102 not included),https://www.olx.com.pk/item/power-supply-module-3-3v-5v-for-mb-102-breadboardmb-102-not-included-IDWIHaK.html
"Rs 22,000",I am selling Xbox 360,https://www.olx.com.pk/item/i-am-selling-xbox-360-IDWN4rz.html
"Rs 1,000",Ps4 games normal price,https://www.olx.com.pk/item/ps4-games-normal-price-IDWJkM5.html
"Rs 3,500",Mafia 3 Xbox One,https://www.olx.com.pk/item/mafia-3-xbox-one-IDWN4rS.html
"Rs 3,500",Witchers 3 Xbox one mint condition,https://www.olx.com.pk/item/witchers-3-xbox-one-mint-condition-IDWN4mn.html
Rs 180,Heartbeat Sensor Module For Arduino uno r3 Arduino mega,https://www.olx.com.pk/item/heartbeat-sensor-module-for-arduino-uno-r3-arduino-mega-IDWIHbL.html
"Rs 3,499",Play station 2 (ps 2),https://www.olx.com.pk/item/play-station-2-ps-2-IDWN4t3.html
"Rs 22,000",Ps3 With 4 cds A1 Condition,https://www.olx.com.pk/item/ps3-with-4-cds-a1-condition-IDWN3sK.html
